Métrica,Mediana_Geral,Mediana_MERGED,Mediana_CLOSED,Media_Geral,Desvio_Padrao
changed_files,2.0,2.0,1.0,15.478358208955225,211.729972023485
additions,16.0,16.0,14.0,439.43825870646765,5858.832079926991
deletions,4.0,4.0,2.0,808.2610447761194,17082.73600848405
total_lines_changed,25.0,26.0,22.0,1247.699303482587,19590.585642716225
duration_hours,41.985,30.814999999999998,168.31,656.2500422885573,2632.6606817451684
participants_count,2.0,2.0,3.0,2.9988059701492538,4.603790165927426
comments_total,2.0,2.0,3.0,4.147711442786069,10.712444990378737
review_count,1.0,1.0,1.0,2.571641791044776,3.9609884015123353
