nome_repositorio,estrelas,linguagem_primaria,idade_dias,dias_desde_ultimo_push,total_pull_requests_aceitas,total_releases,total_issues,issues_fechadas,razao_issues_fechadas
papers-we-love/papers-we-love,96969,Shell,4258,100,437,0,246,245,0.9959
mui/material-ui,96354,TypeScript,4012,0,20755,547,20157,18541,0.9198
iptv-org/iptv,96178,TypeScript,2462,0,6663,0,14629,14188,0.9699
Hack-with-Github/Awesome-Hacking,96145,N/A,3422,206,34,0,0,0,0.0000
ant-design/ant-design,95627,TypeScript,3763,0,15739,713,31594,30364,0.9611
rustdesk/rustdesk,95535,Rust,1779,0,3618,31,3604,3547,0.9842
tauri-apps/tauri,95464,Rust,2222,0,5142,1000,5746,4625,0.8049
microsoft/generative-ai-for-beginners,94804,Jupyter Notebook,785,1,376,0,176,165,0.9375
nvbn/thefuck,93422,Python,3779,389,481,17,759,472,0.6219
ryanmcdermott/clean-code-javascript,93341,JavaScript,3181,379,149,0,235,163,0.6936
shadcn-ui/ui,92811,TypeScript,951,0,634,52,3329,2364,0.7101
iluwatar/java-design-patterns,92465,Java,4021,7,1507,0,959,830,0.8655
pytorch/pytorch,92311,Python,3286,0,6190,61,53034,37628,0.7095
Anduin2017/HowToCook,92225,Dockerfile,1991,11,586,4,780,346,0.4436
neovim/neovim,91911,Vim Script,4211,0,16075,45,13092,11446,0.8743
puppeteer/puppeteer,91714,TypeScript,3016,0,5405,555,7208,6946,0.9637
microsoft/Web-Dev-For-Beginners,91252,JavaScript,1736,5,514,0,330,242,0.7333
deepseek-ai/DeepSeek-R1,90856,N/A,204,46,9,1,627,568,0.9059
PanJiaChen/vue-element-admin,89759,Vue,3039,292,311,49,3609,2357,0.6531
tailwindlabs/tailwindcss,89558,TypeScript,2867,0,3063,289,4528,4450,0.9828
fastapi/fastapi,88284,Python,2439,0,2732,208,3466,3417,0.9859
mtdvio/every-programmer-should-know,87781,N/A,2910,371,99,0,52,23,0.4423
storybookjs/storybook,87494,TypeScript,3434,0,11467,1000,13658,11605,0.8497
supabase/supabase,86995,TypeScript,2131,0,12854,22,4636,4390,0.9469
openai/whisper,86497,Python,1061,47,119,13,0,0,0.0000
